city,country,growth,latitude,longitude,population,year,continent,gdp_per_capita,ECI,hdi
new york,united states,Developed economies,40.6781784,-73.9441579,8622698,2010,Northern America,59928,1.75541,0.92
guangzhou,china,Developing economies,23.12911,113.264385,14043500,2010,Eastern Asia,16782,0.691307,0.758
toronto,canada,Developed economies,43.653226,-79.3831843,2956024,2010,Northern America,46723,1.05671,0.922
los altos,united states,Developed economies,37.3852183,-122.1141298,30743,2010,Northern America,59928,1.75541,0.92
bengaluru,india,Developing economies,12.9715987,77.5945627,8425970,2010,Southern Asia,7169,0.359807,0.647
jakarta,indonesia,Developing economies,-6.2087634,106.845599,10428001,2010,South-eastern Asia,12279,-0.305644,0.707
new york,united states,Developed economies,40.7127753,-74.0059728,8622698,2010,Northern America,59928,1.75541,0.92
atlanta,united states,Developed economies,33.7489954,-84.3879824,472522,2010,Northern America,59928,1.75541,0.92
athens,greece,Developed economies,37.9838096,23.7275388,664046,2010,Southern Europe,28580,0.125884,0.872
new york,united states,Developed economies,40.7127753,-74.0059728,8622698,2010,Northern America,59928,1.75541,0.92
vienna,austria,Developed economies,48.2081743,16.3738189,1888776,2010,Western Europe,53879,1.62894,0.914
berlin,germany,Developed economies,52.5143543,13.3944141,3613495,2010,Western Europe,52574,2.07537,0.939
monterrey,mexico,Developing economies,25.6866142,-100.3161126,3712000,2010,Northern America,19432,1.09955,0.767
new delhi,india,Developing economies,28.6139391,77.2090212,317797,2010,Southern Asia,7169,0.359807,0.647
mexico city,mexico,Developing economies,19.4326077,-99.133208,9041395,2010,Northern America,19432,1.09955,0.767
beijing,china,Developing economies,39.9041999,116.4073963,21516000,2010,Eastern Asia,16782,0.691307,0.758
seoul,south korea,Developing economies,37.555338,126.973312,10197604,2010,Eastern Asia,38824,1.77613,0.906
atlanta,united states,Developed economies,33.7489954,-84.3879824,472522,2010,Northern America,59928,1.75541,0.92
seoul,south korea,Developing economies,37.555338,126.973312,10197604,2010,Eastern Asia,38824,1.77613,0.906
kyiv,ukraine,Transition economies,50.4501,30.5234,2893215,2010,Eastern Europe,8694,0.556886,0.75
hyderabad,india,Developing economies,17.385044,78.486671,6376000,2010,Southern Asia,7169,0.359807,0.647
lahore,pakistan,Developing economies,31.5203696,74.3587473,11126285,2010,Southern Asia,5249,-0.859978,0.56
docklands,australia,Developed economies,-37.8190118,144.9465764,0,2010,Oceania,49654,0.0863035,0.938
la quinta,united states,Developed economies,33.6633573,-116.3100095,41304,2010,Northern America,59928,1.75541,0.92
budapest,hungary,Developed economies,47.497912,19.040235,1759407,2010,Eastern Europe,28799,1.38444,0.845
new york,united states,Developed economies,40.7127753,-74.0059728,8622698,2010,Northern America,59928,1.75541,0.92
